2022-07-24 19:01:44.299,,,,,,,,
2022-07-24 19:01:44.299,Mode 3 access,100.00," gX: -0.00"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:01:44.312,Mode 3 access,100.00," gX: -0.00"," gY: 0.00"," gZ: 0.01",," Gain*gyroY: 0",
2022-07-24 19:01:44.328,Mode 3 access,100.00," gX: -0.00"," gY: 0.01"," gZ: 0.01",," Gain*gyroY: 0",
2022-07-24 19:01:44.344,Mode 3 access,100.00," gX: 0.01"," gY: 0.02"," gZ: 0.01",," Gain*gyroY: 1",
2022-07-24 19:01:44.361,Mode 3 access,100.00," gX: 0.01"," gY: 0.02"," gZ: 0.01",," Gain*gyroY: 2",
2022-07-24 19:01:44.376,Mode 3 access,100.00," gX: 0.01"," gY: 0.02"," gZ: 0.01",," Gain*gyroY: 2",
2022-07-24 19:01:44.394,Mode 3 access,100.00," gX: 0.00"," gY: 0.02"," gZ: 0.01",," Gain*gyroY: 1",
2022-07-24 19:01:44.410,Mode 3 access,100.00," gX: 0.01"," gY: 0.02"," gZ: 0.01",," Gain*gyroY: 1",
2022-07-24 19:01:44.425,Mode 3 access,100.00," gX: 0.01"," gY: 0.03"," gZ: 0.02",," Gain*gyroY: 3",
2022-07-24 19:01:44.443,Mode 3 access,100.00," gX: 0.01"," gY: 0.07"," gZ: 0.02",," Gain*gyroY: 7",
2022-07-24 19:01:44.459,Mode 3 access,100.00," gX: 0.01"," gY: 0.07"," gZ: 0.02",," Gain*gyroY: 7",
2022-07-24 19:01:44.475,Mode 3 access,100.00," gX: 0.05"," gY: 0.17"," gZ: 0.02",," Gain*gyroY: 16",
2022-07-24 19:01:44.488,Mode 3 access,100.00," gX: 0.09"," gY: 0.32"," gZ: 0.03",," Gain*gyroY: 31",
2022-07-24 19:01:44.504,Mode 3 access,100.00," gX: 0.09"," gY: 0.30"," gZ: 0.02",," Gain*gyroY: 30",
2022-07-24 19:01:44.520,Mode 3 access,100.00," gX: 0.06"," gY: 0.27"," gZ: 0.01",," Gain*gyroY: 27",
2022-07-24 19:01:44.537,Mode 3 access,100.00," gX: 0.06"," gY: 0.27"," gZ: 0.01",," Gain*gyroY: 27",
2022-07-24 19:01:44.554,Mode 3 access,100.00," gX: 0.06"," gY: 0.22"," gZ: 0.04",," Gain*gyroY: 21",
2022-07-24 19:01:44.570,Mode 3 access,100.00," gX: -0.02"," gY: 0.28"," gZ: 0.05",," Gain*gyroY: 27",
2022-07-24 19:01:44.586,Mode 3 access,100.00," gX: -0.03"," gY: 0.33"," gZ: 0.06",," Gain*gyroY: 33",
2022-07-24 19:01:44.602,Mode 3 access,100.00," gX: -0.01"," gY: 0.34"," gZ: 0.06",," Gain*gyroY: 33",
2022-07-24 19:01:44.619,Mode 3 access,100.00," gX: -0.01"," gY: 0.34"," gZ: 0.06",," Gain*gyroY: 33",
2022-07-24 19:01:44.636,Mode 3 access,100.00," gX: -0.02"," gY: 0.36"," gZ: 0.06",," Gain*gyroY: 36",
2022-07-24 19:01:44.652,Mode 3 access,100.00," gX: -0.01"," gY: 0.41"," gZ: 0.04",," Gain*gyroY: 41",
2022-07-24 19:01:44.664,Mode 3 access,100.00," gX: 0.00"," gY: 0.49"," gZ: 0.04",," Gain*gyroY: 49",
2022-07-24 19:01:44.680,Mode 3 access,100.00," gX: 0.02"," gY: 0.58"," gZ: 0.04",," Gain*gyroY: 57",
2022-07-24 19:01:44.697,Mode 3 access,100.00," gX: 0.02"," gY: 0.58"," gZ: 0.04",," Gain*gyroY: 57",
2022-07-24 19:01:44.713,Mode 3 access,100.00," gX: 0.05"," gY: 0.57"," gZ: 0.05",," Gain*gyroY: 57",
2022-07-24 19:01:44.730,Mode 3 access,100.00," gX: 0.07"," gY: 0.55"," gZ: 0.05",," Gain*gyroY: 55",
2022-07-24 19:01:44.746,Mode 3 access,100.00," gX: 0.09"," gY: 0.49"," gZ: 0.06",," Gain*gyroY: 49",
2022-07-24 19:01:44.763,Mode 3 access,100.00," gX: 0.10"," gY: 0.55"," gZ: 0.08",," Gain*gyroY: 55",
2022-07-24 19:01:44.779,Mode 3 access,100.00," gX: 0.10"," gY: 0.55"," gZ: 0.08",," Gain*gyroY: 55",
2022-07-24 19:01:44.795,Mode 3 access,100.00," gX: 0.10"," gY: 0.58"," gZ: 0.09",," Gain*gyroY: 57",
2022-07-24 19:01:44.812,Mode 3 access,100.00," gX: 0.11"," gY: 0.58"," gZ: 0.08",," Gain*gyroY: 58",
2022-07-24 19:01:44.824,Mode 3 access,100.00," gX: 0.11"," gY: 0.60"," gZ: 0.07",," Gain*gyroY: 59",
2022-07-24 19:01:44.840,Mode 3 access,100.00," gX: 0.12"," gY: 0.60"," gZ: 0.08",," Gain*gyroY: 60",
2022-07-24 19:01:44.857,Mode 3 access,100.00," gX: 0.12"," gY: 0.60"," gZ: 0.08",," Gain*gyroY: 60",
2022-07-24 19:01:44.873,Mode 3 access,100.00," gX: 0.12"," gY: 0.64"," gZ: 0.11",," Gain*gyroY: 64",
2022-07-24 19:01:44.889,Mode 3 access,100.00," gX: 0.12"," gY: 0.66"," gZ: 0.13",," Gain*gyroY: 65",
2022-07-24 19:01:44.906,Mode 3 access,100.00," gX: 0.11"," gY: 0.66"," gZ: 0.14",," Gain*gyroY: 66",
2022-07-24 19:01:44.922,Mode 3 access,100.00," gX: 0.12"," gY: 0.67"," gZ: 0.14",," Gain*gyroY: 66",
2022-07-24 19:01:44.938,Mode 3 access,100.00," gX: 0.12"," gY: 0.67"," gZ: 0.14",," Gain*gyroY: 66",
2022-07-24 19:01:44.955,Mode 3 access,100.00," gX: 0.14"," gY: 0.68"," gZ: 0.15",," Gain*gyroY: 68",
