,Date,Time,Gain,gX,gY,gZ,GainGyro
0,2022-07-24,19:01:44.299,100.0,  -0.00,  -0.00,  0.00,
1,2022-07-24,19:01:44.312,100.0,  -0.00,  0.00,  0.01,  0
2,2022-07-24,19:01:44.328,100.0,  -0.00,  0.01,  0.01,  0
3,2022-07-24,19:01:44.344,100.0,  0.01,  0.02,  0.01,  1
4,2022-07-24,19:01:44.361,100.0,  0.01,  0.02,  0.01,  2
5,2022-07-24,19:01:44.376,100.0,  0.01,  0.02,  0.01,  2
6,2022-07-24,19:01:44.394,100.0,  0.00,  0.02,  0.01,  1
7,2022-07-24,19:01:44.410,100.0,  0.01,  0.02,  0.01,  1
8,2022-07-24,19:01:44.425,100.0,  0.01,  0.03,  0.02,  3
9,2022-07-24,19:01:44.443,100.0,  0.01,  0.07,  0.02,  7
10,2022-07-24,19:01:44.459,100.0,  0.01,  0.07,  0.02,  7
11,2022-07-24,19:01:44.475,100.0,  0.05,  0.17,  0.02,  16
12,2022-07-24,19:01:44.488,100.0,  0.09,  0.32,  0.03,  31
13,2022-07-24,19:01:44.504,100.0,  0.09,  0.30,  0.02,  30
14,2022-07-24,19:01:44.520,100.0,  0.06,  0.27,  0.01,  27
15,2022-07-24,19:01:44.537,100.0,  0.06,  0.27,  0.01,  27
16,2022-07-24,19:01:44.554,100.0,  0.06,  0.22,  0.04,  21
17,2022-07-24,19:01:44.570,100.0,  -0.02,  0.28,  0.05,  27
18,2022-07-24,19:01:44.586,100.0,  -0.03,  0.33,  0.06,  33
19,2022-07-24,19:01:44.602,100.0,  -0.01,  0.34,  0.06,  33
20,2022-07-24,19:01:44.619,100.0,  -0.01,  0.34,  0.06,  33
21,2022-07-24,19:01:44.636,100.0,  -0.02,  0.36,  0.06,  36
22,2022-07-24,19:01:44.652,100.0,  -0.01,  0.41,  0.04,  41
23,2022-07-24,19:01:44.664,100.0,  0.00,  0.49,  0.04,  49
24,2022-07-24,19:01:44.680,100.0,  0.02,  0.58,  0.04,  57
25,2022-07-24,19:01:44.697,100.0,  0.02,  0.58,  0.04,  57
26,2022-07-24,19:01:44.713,100.0,  0.05,  0.57,  0.05,  57
27,2022-07-24,19:01:44.730,100.0,  0.07,  0.55,  0.05,  55
28,2022-07-24,19:01:44.746,100.0,  0.09,  0.49,  0.06,  49
29,2022-07-24,19:01:44.763,100.0,  0.10,  0.55,  0.08,  55
30,2022-07-24,19:01:44.779,100.0,  0.10,  0.55,  0.08,  55
31,2022-07-24,19:01:44.795,100.0,  0.10,  0.58,  0.09,  57
32,2022-07-24,19:01:44.812,100.0,  0.11,  0.58,  0.08,  58
33,2022-07-24,19:01:44.824,100.0,  0.11,  0.60,  0.07,  59
34,2022-07-24,19:01:44.840,100.0,  0.12,  0.60,  0.08,  60
35,2022-07-24,19:01:44.857,100.0,  0.12,  0.60,  0.08,  60
36,2022-07-24,19:01:44.873,100.0,  0.12,  0.64,  0.11,  64
37,2022-07-24,19:01:44.889,100.0,  0.12,  0.66,  0.13,  65
38,2022-07-24,19:01:44.906,100.0,  0.11,  0.66,  0.14,  66
39,2022-07-24,19:01:44.922,100.0,  0.12,  0.67,  0.14,  66
40,2022-07-24,19:01:44.938,100.0,  0.12,  0.67,  0.14,  66
41,2022-07-24,19:01:44.955,100.0,  0.14,  0.68,  0.15,  68
42,2022-07-24,19:01:44.971,100.0,  0.17,  0.71,  0.15,  70
43,2022-07-24,19:01:44.987,100.0,  0.18,  0.71,  0.17,  71
44,2022-07-24,19:01:44.999,100.0,  0.18,  0.70,  0.18,  70
45,2022-07-24,19:01:45.016,100.0,  0.18,  0.70,  0.18,  70
46,2022-07-24,19:01:45.032,100.0,  0.20,  0.67,  0.17,  66
47,2022-07-24,19:01:45.049,100.0,  0.21,  0.68,  0.17,  67
48,2022-07-24,19:01:45.065,100.0,  0.20,  0.69,  0.16,  69
49,2022-07-24,19:01:45.082,100.0,  0.19,  0.74,  0.16,  74
50,2022-07-24,19:01:45.098,100.0,  0.19,  0.74,  0.16,  74
51,2022-07-24,19:01:45.115,100.0,  0.20,  0.81,  0.18,  80
52,2022-07-24,19:01:45.131,100.0,  0.21,  0.84,  0.18,  84
53,2022-07-24,19:01:45.147,100.0,  0.23,  0.73,  0.15,  72
54,2022-07-24,19:01:45.164,100.0,  0.24,  0.68,  0.12,  67
55,2022-07-24,19:01:45.176,100.0,  0.24,  0.68,  0.12,  67
56,2022-07-24,19:01:45.192,100.0,  0.25,  0.65,  0.12,  64
57,2022-07-24,19:01:45.209,100.0,  0.26,  0.67,  0.11,  67
58,2022-07-24,19:01:45.226,100.0,  0.26,  0.75,  0.12,  74
59,2022-07-24,19:01:45.242,100.0,  0.26,  0.79,  0.13,  78
60,2022-07-24,19:01:45.258,100.0,  0.26,  0.79,  0.13,  78
61,2022-07-24,19:01:45.275,100.0,  0.27,  0.80,  0.13,  80
62,2022-07-24,19:01:45.291,100.0,  0.28,  0.85,  0.14,  85
63,2022-07-24,19:01:45.307,100.0,  0.27,  1.01,  0.13,  101
64,2022-07-24,19:01:45.324,100.0,  0.28,  0.97,  0.12,  97
65,2022-07-24,19:01:45.336,100.0,  0.28,  0.97,  0.12,  97
66,2022-07-24,19:01:45.352,100.0,  0.29,  0.96,  0.13,  96
67,2022-07-24,19:01:45.369,100.0,  0.30,  0.85,  0.13,  84
68,2022-07-24,19:01:45.384,100.0,  0.28,  0.79,  0.14,  78
69,2022-07-24,19:01:45.401,100.0,  0.28,  0.69,  0.13,  68
70,2022-07-24,19:01:45.417,100.0,  0.28,  0.69,  0.13,  68
71,2022-07-24,19:01:45.434,100.0,  0.25,  0.71,  0.13,  71
72,2022-07-24,19:01:45.451,100.0,  0.23,  0.60,  0.11,  59
73,2022-07-24,19:01:45.467,100.0,  0.20,  0.57,  0.11,  57
74,2022-07-24,19:01:45.483,100.0,  0.18,  0.56,  0.09,  56
75,2022-07-24,19:01:45.500,100.0,  0.18,  0.56,  0.09,  56
76,2022-07-24,19:01:45.512,100.0,  0.15,  0.57,  0.08,  56
77,2022-07-24,19:01:45.528,100.0,  0.14,  0.52,  0.08,  51
78,2022-07-24,19:01:45.544,100.0,  0.10,  0.56,  0.08,  55
79,2022-07-24,19:01:45.561,100.0,  0.10,  0.45,  0.07,  45
80,2022-07-24,19:01:45.577,100.0,  0.10,  0.45,  0.07,  45
81,2022-07-24,19:01:45.593,100.0,  0.10,  0.49,  0.07,  49
82,2022-07-24,19:01:45.610,100.0,  0.11,  0.53,  0.10,  52
83,2022-07-24,19:01:45.627,100.0,  0.12,  0.42,  0.09,  41
84,2022-07-24,19:01:45.642,100.0,  0.13,  0.40,  0.10,  39
85,2022-07-24,19:01:45.659,100.0,  0.13,  0.40,  0.10,  39
86,2022-07-24,19:01:45.675,100.0,  0.10,  0.52,  0.10,  51
87,2022-07-24,19:01:45.688,100.0,  0.09,  0.46,  0.08,  46
88,2022-07-24,19:01:45.704,100.0,  0.08,  0.42,  0.05,  41
89,2022-07-24,19:01:45.721,100.0,  0.08,  0.42,  0.05,  41
90,2022-07-24,19:01:45.737,100.0,  0.08,  0.36,  0.04,  35
91,2022-07-24,19:01:45.754,100.0,  0.06,  0.33,  0.05,  33
92,2022-07-24,19:01:45.770,100.0,  0.04,  0.39,  0.07,  38
93,2022-07-24,19:01:45.786,100.0,  0.05,  0.38,  0.07,  38
94,2022-07-24,19:01:45.803,100.0,  0.05,  0.38,  0.07,  38
95,2022-07-24,19:01:45.819,100.0,  0.06,  0.36,  0.06,  35
96,2022-07-24,19:01:45.836,100.0,  0.06,  0.34,  0.05,  34
97,2022-07-24,19:01:45.848,100.0,  0.05,  0.31,  0.05,  30
98,2022-07-24,19:01:45.864,100.0,  0.01,  0.40,  0.07,  40
99,2022-07-24,19:01:45.881,100.0,  0.01,  0.40,  0.07,  40
100,2022-07-24,19:01:45.897,100.0,  0.01,  0.40,  0.09,  39
101,2022-07-24,19:01:45.914,100.0,  0.02,  0.33,  0.08,  32
102,2022-07-24,19:01:45.930,100.0,  0.02,  0.33,  0.05,  32
103,2022-07-24,19:01:45.946,100.0,  0.01,  0.19,  -0.00,  19
104,2022-07-24,19:01:45.963,100.0,  0.01,  0.19,  -0.00,  19
105,2022-07-24,19:01:45.979,100.0,  0.00,  0.19,  -0.04,  18
106,2022-07-24,19:01:45.995,100.0,  -0.02,  0.24,  -0.03,  23
107,2022-07-24,19:01:46.012,100.0,  -0.00,  0.21,  -0.02,  20
108,2022-07-24,19:01:46.024,100.0,  0.00,  0.10,  -0.01,  10
109,2022-07-24,19:01:46.040,100.0,  0.00,  0.10,  -0.01,  10
110,2022-07-24,19:01:46.056,100.0,  -0.02,  0.11,  -0.02,  10
111,2022-07-24,19:01:46.073,100.0,  -0.06,  0.09,  -0.03,  9
112,2022-07-24,19:01:46.090,100.0,  -0.08,  -0.04,  -0.05,
113,2022-07-24,19:01:46.106,100.0,  -0.11,  -0.07,  -0.05,
114,2022-07-24,19:01:46.118,100.0,  -0.11,  -0.07,  -0.05,
115,2022-07-24,19:01:46.135,100.0,  -0.12,  -0.10,  -0.05,
116,2022-07-24,19:01:46.151,100.0,  -0.11,  -0.15,  -0.06,
117,2022-07-24,19:01:46.163,100.0,  -0.12,  -0.22,  -0.06,
118,2022-07-24,19:01:46.180,100.0,  -0.12,  -0.22,  -0.06,
119,2022-07-24,19:01:46.196,100.0,  -0.14,  -0.26,  -0.07,
120,2022-07-24,19:01:46.208,100.0,  -0.16,  -0.28,  -0.07,
121,2022-07-24,19:01:46.225,100.0,  -0.17,  -0.29,  -0.08,
122,2022-07-24,19:01:46.241,100.0,  -0.17,  -0.29,  -0.08,
123,2022-07-24,19:01:46.253,100.0,  -0.17,  -0.30,  -0.09,
124,2022-07-24,19:01:46.269,100.0,  -0.17,  -0.34,  -0.10,
125,2022-07-24,19:01:46.286,100.0,  -0.15,  -0.41,  -0.11,
126,2022-07-24,19:01:46.298,100.0,  -0.15,  -0.41,  -0.11,
127,2022-07-24,19:01:46.315,100.0,  -0.14,  -0.52,  -0.13,
128,2022-07-24,19:01:46.331,100.0,  -0.14,  -0.63,  -0.13,
129,2022-07-24,19:01:46.343,100.0,  -0.13,  -0.61,  -0.11,
130,2022-07-24,19:01:46.359,100.0,  -0.13,  -0.61,  -0.11,
131,2022-07-24,19:01:46.376,100.0,  -0.09,  -0.76,  -0.13,
132,2022-07-24,19:01:46.388,100.0,  -0.10,  -0.84,  -0.17,
133,2022-07-24,19:01:46.405,100.0,  -0.11,  -0.89,  -0.17,
134,2022-07-24,19:01:46.422,100.0,  -0.11,  -0.89,  -0.17,
135,2022-07-24,19:01:46.434,100.0,  -0.11,  -0.98,  -0.16,
136,2022-07-24,19:01:46.450,100.0,  -0.08,  -1.03,  -0.16,
137,2022-07-24,19:01:46.466,100.0,  -0.05,  -1.06,  -0.17,
138,2022-07-24,19:01:46.478,100.0,  -0.05,  -1.06,  -0.17,
139,2022-07-24,19:01:46.495,100.0,  -0.04,  -1.02,  -0.17,
140,2022-07-24,19:01:46.511,100.0,  -0.05,  -1.06,  -0.18,
141,2022-07-24,19:01:46.524,100.0,  -0.05,  -1.08,  -0.19,
142,2022-07-24,19:01:46.540,100.0,  -0.05,  -1.08,  -0.19,
143,2022-07-24,19:01:46.556,100.0,  -0.05,  -1.03,  -0.19,
144,2022-07-24,19:01:46.569,100.0,  -0.04,  -1.08,  -0.18,
145,2022-07-24,19:01:46.585,100.0,  -0.04,  -1.07,  -0.18,
146,2022-07-24,19:01:46.602,100.0,  -0.04,  -1.07,  -0.18,
147,2022-07-24,19:01:46.614,100.0,  -0.03,  -0.95,  -0.18,
148,2022-07-24,19:01:46.630,100.0,  -0.02,  -1.01,  -0.17,
149,2022-07-24,19:01:46.647,100.0,  -0.04,  -1.05,  -0.17,
150,2022-07-24,19:01:46.659,100.0,  -0.04,  -1.05,  -0.17,
151,2022-07-24,19:01:46.675,100.0,  -0.07,  -1.01,  -0.16,
152,2022-07-24,19:01:46.692,100.0,  -0.07,  -1.10,  -0.15,
153,2022-07-24,19:01:46.704,100.0,  -0.09,  -1.07,  -0.16,
154,2022-07-24,19:01:46.720,100.0,  -0.09,  -1.07,  -0.16,
155,2022-07-24,19:01:46.736,100.0,  -0.13,  -0.98,  -0.17,
156,2022-07-24,19:01:46.749,100.0,  -0.13,  -0.88,  -0.18,
157,2022-07-24,19:01:46.766,100.0,  -0.12,  -0.92,  -0.17,
158,2022-07-24,19:01:46.782,100.0,  -0.12,  -0.92,  -0.17,
159,2022-07-24,19:01:46.794,100.0,  -0.12,  -0.98,  -0.15,
160,2022-07-24,19:01:46.810,100.0,  -0.15,  -0.91,  -0.13,
161,2022-07-24,19:01:46.827,100.0,  -0.15,  -0.95,  -0.12,
162,2022-07-24,19:01:46.839,100.0,  -0.15,  -0.95,  -0.12,
163,2022-07-24,19:01:46.856,100.0,  -0.16,  -1.08,  -0.12,
164,2022-07-24,19:01:46.872,100.0,  -0.19,  -1.01,  -0.11,
165,2022-07-24,19:01:46.884,100.0,  -0.21,  -0.88,  -0.12,
166,2022-07-24,19:01:46.901,100.0,  -0.21,  -0.88,  -0.12,
167,2022-07-24,19:01:46.917,100.0,  -0.18,  -0.86,  -0.13,
168,2022-07-24,19:01:46.929,100.0,  -0.19,  -0.85,  -0.12,
169,2022-07-24,19:01:46.946,100.0,  -0.22,  -0.85,  -0.13,
170,2022-07-24,19:01:46.957,100.0,  -0.22,  -0.85,  -0.13,
171,2022-07-24,19:01:46.974,100.0,  -0.20,  -0.85,  -0.13,
172,2022-07-24,19:01:46.991,100.0,  -0.20,  -0.84,  -0.11,
173,2022-07-24,19:01:47.003,100.0,  -0.19,  -0.83,  -0.09,
174,2022-07-24,19:01:47.019,100.0,  -0.19,  -0.83,  -0.09,
175,2022-07-24,19:01:47.036,100.0,  -0.15,  -0.82,  -0.08,
176,2022-07-24,19:01:47.048,100.0,  -0.10,  -0.83,  -0.08,
177,2022-07-24,19:01:47.064,100.0,  -0.08,  -0.89,  -0.08,
178,2022-07-24,19:01:47.081,100.0,  -0.08,  -0.89,  -0.08,
179,2022-07-24,19:01:47.093,100.0,  -0.08,  -0.87,  -0.09,
180,2022-07-24,19:01:47.109,100.0,  -0.06,  -0.86,  -0.08,
181,2022-07-24,19:01:47.126,100.0,  -0.07,  -0.75,  -0.08,
182,2022-07-24,19:01:47.138,100.0,  -0.07,  -0.75,  -0.08,
183,2022-07-24,19:01:47.155,100.0,  -0.10,  -0.70,  -0.09,
184,2022-07-24,19:01:47.171,100.0,  -0.09,  -0.68,  -0.10,
185,2022-07-24,19:01:47.183,100.0,  -0.07,  -0.58,  -0.10,
186,2022-07-24,19:01:47.200,100.0,  -0.07,  -0.58,  -0.10,
187,2022-07-24,19:01:47.216,100.0,  -0.05,  -0.59,  -0.08,
188,2022-07-24,19:01:47.228,100.0,  -0.05,  -0.52,  -0.05,
189,2022-07-24,19:01:47.244,100.0,  -0.07,  -0.44,  -0.04,
190,2022-07-24,19:01:47.261,100.0,  -0.07,  -0.44,  -0.04,
191,2022-07-24,19:01:47.273,100.0,  -0.08,  -0.41,  -0.04,
192,2022-07-24,19:01:47.290,100.0,  -0.09,  -0.34,  -0.06,
193,2022-07-24,19:01:47.306,100.0,  -0.10,  -0.37,  -0.07,
194,2022-07-24,19:01:47.318,100.0,  -0.10,  -0.37,  -0.07,
195,2022-07-24,19:01:47.335,100.0,  -0.21,  -0.38,  -0.12,
196,2022-07-24,19:01:47.351,100.0,  -0.46,  0.08,  -0.17,  7
197,2022-07-24,19:01:47.368,100.0,  -0.40,  -0.17,  -0.11,
198,2022-07-24,19:01:47.380,100.0,  -0.40,  -0.17,  -0.11,
199,2022-07-24,19:01:47.396,100.0,  -0.22,  -0.16,  -0.07,
200,2022-07-24,19:01:47.413,100.0,  -0.06,  -0.14,  -0.04,
201,2022-07-24,19:01:47.425,100.0,  -0.04,  -0.17,  -0.02,
202,2022-07-24,19:01:47.441,100.0,  -0.04,  -0.17,  -0.02,
203,2022-07-24,19:01:47.457,100.0,  -0.06,  -0.20,  0.01,
204,2022-07-24,19:01:47.470,100.0,  -0.11,  -0.19,  0.02,
205,2022-07-24,19:01:47.486,100.0,  -0.15,  -0.17,  0.01,
206,2022-07-24,19:01:47.503,100.0,  -0.15,  -0.17,  0.01,
207,2022-07-24,19:01:47.515,100.0,  -0.15,  -0.11,  -0.01,
208,2022-07-24,19:01:47.531,100.0,  -0.13,  -0.06,  -0.04,
209,2022-07-24,19:01:47.548,100.0,  -0.07,  0.03,  -0.04,  2
210,2022-07-24,19:01:47.559,100.0,  -0.07,  0.03,  -0.04,  2
211,2022-07-24,19:01:47.576,100.0,  -0.01,  0.07,  -0.04,  7
212,2022-07-24,19:01:47.593,100.0,  0.04,  0.14,  -0.05,  13
213,2022-07-24,19:01:47.609,100.0,  0.06,  0.21,  -0.05,  20
214,2022-07-24,19:01:47.626,100.0,  0.10,  0.29,  -0.03,  28
215,2022-07-24,19:01:47.642,100.0,  0.10,  0.29,  -0.03,  28
