2022-07-24 19:44:03.504,,,,,,,,
2022-07-24 19:44:03.504,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:03.516,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:03.533,Mode 3 access,125.00," gX: 0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:03.549,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:03.561,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:03.577,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:03.594,Mode 3 access,125.00," gX: 0.00"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:44:03.606,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:03.623,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:03.639,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:03.651,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:03.668,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:03.685,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:03.697,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:03.713,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:03.729,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:44:03.742,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:44:03.758,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:03.775,Mode 3 access,125.00," gX: 0.01"," gY: -0.02"," gZ: 0.00",,,
2022-07-24 19:44:03.786,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:03.803,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:03.820,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:03.832,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:03.848,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:03.860,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:03.876,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:03.893,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:44:03.905,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:03.922,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:03.938,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:03.955,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:03.971,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:44:03.987,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:04.000,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:04.016,Mode 3 access,125.00," gX: 0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:04.033,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.049,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:04.061,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:04.077,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:04.094,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.110,Mode 3 access,125.00," gX: -0.01"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:04.123,Mode 3 access,125.00," gX: -0.01"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:04.139,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.155,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:44:04.172,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.188,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.205,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.217,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.233,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.250,Mode 3 access,125.00," gX: -0.01"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:04.266,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.282,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.299,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.315,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.331,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.344,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.360,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.376,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.393,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.410,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.425,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.441,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.458,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.475,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.491,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.503,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.519,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.536,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.553,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:44:04.569,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.585,Mode 3 access,125.00," gX: -0.02"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:04.602,Mode 3 access,125.00," gX: -0.02"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:44:04.614,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.630,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:04.647,Mode 3 access,125.00," gX: 0.00"," gY: 0.01"," gZ: 0.01",," Gain*gyroY: 0",
2022-07-24 19:44:04.663,Mode 3 access,125.00," gX: 0.00"," gY: 0.01"," gZ: 0.01",," Gain*gyroY: 0",
