2022-07-24 20:07:06.177,,,,,,,,
2022-07-24 20:07:06.177,Mode 3 access,125.00," gX: -0.01"," gY: -0.04"," gZ: -0.00",,,
2022-07-24 20:07:06.194,Mode 3 access,125.00," gX: -0.01"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:06.210,Mode 3 access,125.00," gX: -0.01"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:06.222,Mode 3 access,125.00," gX: -0.01"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:06.239,Mode 3 access,125.00," gX: -0.01"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:06.251,Mode 3 access,125.00," gX: -0.00"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:06.266,Mode 3 access,125.00," gX: -0.01"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:06.284,Mode 3 access,125.00," gX: -0.01"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:06.296,Mode 3 access,125.00," gX: -0.01"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:06.312,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.329,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.341,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 20:07:06.357,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 20:07:06.374,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.385,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.402,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.419,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.431,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.447,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.464,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.476,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.493,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.509,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.521,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.538,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.554,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.565,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.583,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: -0.01",,,
2022-07-24 20:07:06.599,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: -0.01",,,
2022-07-24 20:07:06.611,Mode 3 access,125.00," gX: 0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.628,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.644,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.656,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.673,Mode 3 access,125.00," gX: 0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.689,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.701,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.718,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.734,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 20:07:06.746,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.762,Mode 3 access,125.00," gX: -0.00"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:06.779,Mode 3 access,125.00," gX: -0.00"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:06.792,Mode 3 access,125.00," gX: -0.00"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:06.808,Mode 3 access,125.00," gX: -0.00"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:06.824,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.836,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.852,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.869,Mode 3 access,125.00," gX: -0.00"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:06.882,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.898,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.915,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 20:07:06.927,Mode 3 access,125.00," gX: -0.00"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:06.943,Mode 3 access,125.00," gX: -0.01"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 20:07:06.960,Mode 3 access,125.00," gX: -0.01"," gY: -0.03"," gZ: -0.01",,,
