2022-07-24 19:50:18.896,,,,,,,,
2022-07-24 19:50:18.897,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:50:18.912,Mode 3 access,125.00," gX: -0.02"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 19:50:18.926,Mode 3 access,125.00," gX: -0.02"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 19:50:18.942,Mode 3 access,125.00," gX: -0.01"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 19:50:18.959,Mode 3 access,125.00," gX: -0.02"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 19:50:18.971,Mode 3 access,125.00," gX: -0.02"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 19:50:18.987,Mode 3 access,125.00," gX: -0.01"," gY: -0.01"," gZ: -0.01",,,
2022-07-24 19:50:19.004,Mode 3 access,125.00," gX: -0.01"," gY: -0.01"," gZ: -0.02",,,
2022-07-24 19:50:19.016,Mode 3 access,125.00," gX: -0.01"," gY: -0.01"," gZ: -0.02",,,
2022-07-24 19:50:19.032,Mode 3 access,125.00," gX: -0.01"," gY: -0.01"," gZ: -0.02",,,
2022-07-24 19:50:19.049,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.02",,,
2022-07-24 19:50:19.061,Mode 3 access,125.00," gX: 0.00"," gY: 0.01"," gZ: -0.02",," Gain*gyroY: 0",
2022-07-24 19:50:19.077,Mode 3 access,125.00," gX: 0.00"," gY: 0.00"," gZ: -0.01",," Gain*gyroY: 0",
2022-07-24 19:50:19.094,Mode 3 access,125.00," gX: 0.00"," gY: 0.00"," gZ: -0.01",," Gain*gyroY: 0",
2022-07-24 19:50:19.110,Mode 3 access,125.00," gX: 0.00"," gY: 0.00"," gZ: -0.01",," Gain*gyroY: 0",
2022-07-24 19:50:19.126,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.01",,,
2022-07-24 19:50:19.138,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.01",,,
2022-07-24 19:50:19.155,Mode 3 access,125.00," gX: -0.00"," gY: -0.01"," gZ: -0.01",,,
2022-07-24 19:50:19.171,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: -0.01",," Gain*gyroY: 0",
2022-07-24 19:50:19.188,Mode 3 access,125.00," gX: 0.00"," gY: 0.01"," gZ: -0.01",," Gain*gyroY: 1",
2022-07-24 19:50:19.204,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.01",," Gain*gyroY: 0",
2022-07-24 19:50:19.221,Mode 3 access,125.00," gX: -0.01"," gY: -0.00"," gZ: -0.02",,,
2022-07-24 19:50:19.233,Mode 3 access,125.00," gX: -0.01"," gY: -0.00"," gZ: -0.02",,,
2022-07-24 19:50:19.249,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.01",," Gain*gyroY: 1",
2022-07-24 19:50:19.266,Mode 3 access,125.00," gX: 0.00"," gY: 0.03"," gZ: -0.01",," Gain*gyroY: 3",
2022-07-24 19:50:19.282,Mode 3 access,125.00," gX: 0.00"," gY: 0.02"," gZ: -0.01",," Gain*gyroY: 2",
2022-07-24 19:50:19.298,Mode 3 access,125.00," gX: -0.00"," gY: 0.02"," gZ: -0.01",," Gain*gyroY: 2",
2022-07-24 19:50:19.310,Mode 3 access,125.00," gX: -0.00"," gY: 0.02"," gZ: -0.01",," Gain*gyroY: 2",
2022-07-24 19:50:19.327,Mode 3 access,125.00," gX: -0.00"," gY: 0.02"," gZ: -0.01",," Gain*gyroY: 2",
2022-07-24 19:50:19.343,Mode 3 access,125.00," gX: 0.00"," gY: 0.01"," gZ: -0.01",," Gain*gyroY: 1",
2022-07-24 19:50:19.360,Mode 3 access,125.00," gX: 0.00"," gY: 0.01"," gZ: -0.01",," Gain*gyroY: 1",
2022-07-24 19:50:19.376,Mode 3 access,125.00," gX: 0.00"," gY: 0.01"," gZ: -0.01",," Gain*gyroY: 1",
2022-07-24 19:50:19.392,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:50:19.409,Mode 3 access,125.00," gX: -0.00"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:50:19.425,Mode 3 access,125.00," gX: -0.00"," gY: -0.03"," gZ: -0.01",,,
2022-07-24 19:50:19.437,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 19:50:19.454,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 19:50:19.471,Mode 3 access,125.00," gX: -0.01"," gY: -0.00"," gZ: -0.01",,,
2022-07-24 19:50:19.483,Mode 3 access,125.00," gX: -0.01"," gY: -0.02"," gZ: -0.01",,,
2022-07-24 19:50:19.499,Mode 3 access,125.00," gX: -0.00"," gY: -0.03"," gZ: -0.00",,,
2022-07-24 19:50:19.515,Mode 3 access,125.00," gX: -0.00"," gY: -0.03"," gZ: -0.00",,,
2022-07-24 19:50:19.528,Mode 3 access,125.00," gX: 0.00"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 19:50:19.544,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:50:19.561,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:50:19.573,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: -0.00",,,
2022-07-24 19:50:19.589,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.606,Mode 3 access,125.00," gX: 0.00"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.622,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.638,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.650,Mode 3 access,125.00," gX: 0.01"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 19:50:19.667,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:50:19.683,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:50:19.696,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:50:19.712,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:50:19.728,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.745,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.761,Mode 3 access,125.00," gX: 0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.773,Mode 3 access,125.00," gX: 0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.790,Mode 3 access,125.00," gX: 0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:50:19.806,Mode 3 access,125.00," gX: 0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 1",
2022-07-24 19:50:19.823,Mode 3 access,125.00," gX: 0.01"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
